Date,Open,High,Low,Close,Volume,MarketCap
12-Oct-19,8315.66,8415.24,8313.34,8336.56,14532641605,1.50E+11
13-Oct-19,8336.9,8470.99,8276.61,8321.01,13808286059,1.50E+11
14-Oct-19,8320.83,8390.21,8284.13,8374.69,15151387859,1.51E+11
15-Oct-19,8373.46,8410.71,8182.71,8205.37,15220412632,1.48E+11
16-Oct-19,8204.67,8216.81,7985.09,8047.53,16071646996,1.45E+11
17-Oct-19,8047.81,8134.83,8000.94,8103.91,14313052244,1.46E+11
18-Oct-19,8100.93,8138.41,7902.16,7973.21,15651592610,1.44E+11
19-Oct-19,7973.8,8082.63,7944.78,7988.56,13797825640,1.44E+11
20-Oct-19,7997.81,8281.82,7949.44,8222.08,15504249442,1.48E+11
21-Oct-19,8225.12,8296.69,8196.42,8243.72,15868748866,1.48E+11
22-Oct-19,8243.4,8296.65,8074.46,8078.2,16803377857,1.45E+11
23-Oct-19,8076.23,8093,7469.32,7514.67,21942878958,1.35E+11
24-Oct-19,7509.73,7532.87,7446.99,7493.49,16268708849,1.35E+11
25-Oct-19,7490.7,8691.54,7479.98,8660.7,28705065488,1.56E+11
26-Oct-19,8667.58,10021.74,8662.62,9244.97,44496255609,1.67E+11
27-Oct-19,9241.71,9749.53,9112.54,9551.71,32593129501,1.72E+11
28-Oct-19,9565.1,9805.12,9256.15,9256.15,30948255332,1.67E+11
29-Oct-19,9248.44,9516.18,9232.65,9427.69,28426779937,1.70E+11
30-Oct-19,9422.46,9426.87,9085.37,9205.73,27706531577,1.66E+11
31-Oct-19,9202.46,9383.16,9028.72,9199.58,26583653947,1.66E+11
01-Nov-19,9193.99,9275.66,9132.05,9261.1,24324691031,1.67E+11
02-Nov-19,9259.78,9377.49,9249.59,9324.72,21242676385,1.68E+11
03-Nov-19,9324.79,9379.81,9141.25,9235.35,21132220847,1.66E+11
04-Nov-19,9235.61,9505.05,9191.49,9412.61,26170255634,1.70E+11
05-Nov-19,9413,9457.42,9256.93,9342.53,26198609048,1.68E+11
06-Nov-19,9340.86,9423.24,9305.91,9360.88,23133895765,1.69E+11
07-Nov-19,9352.39,9368.48,9202.35,9267.56,22700383839,1.67E+11
08-Nov-19,9265.37,9272.76,8775.53,8804.88,24333037836,1.59E+11
09-Nov-19,8809.47,8891.82,8793.16,8813.58,17578630606,1.59E+11
10-Nov-19,8812.49,9103.83,8806.16,9055.53,20587919881,1.63E+11
11-Nov-19,9056.92,9081.28,8700.61,8757.79,20265510765,1.58E+11
12-Nov-19,8759.75,8853.77,8685.43,8815.66,20309769107,1.59E+11
13-Nov-19,8812.03,8836.84,8761.65,8808.26,17545755405,1.59E+11
14-Nov-19,8811.94,8826.94,8692.55,8708.1,19084739975,1.57E+11
15-Nov-19,8705.71,8730.87,8484.84,8491.99,21796856471,1.53E+11
16-Nov-19,8491.17,8592,8473.97,8550.76,16495389808,1.54E+11
17-Nov-19,8549.47,8727.79,8500.97,8577.98,18668638897,1.55E+11
18-Nov-19,8573.98,8653.28,8273.57,8309.29,21579470673,1.50E+11
19-Nov-19,8305.13,8408.52,8099.96,8206.15,21083613816,1.48E+11
20-Nov-19,8203.61,8237.24,8010.51,8027.27,20764300437,1.45E+11
21-Nov-19,8023.64,8110.1,7597.38,7642.75,22514243371,1.38E+11
22-Nov-19,7643.57,7697.38,6936.71,7296.58,34242315785,1.32E+11
23-Nov-19,7296.16,7442.26,7151.42,7397.8,21008924418,1.34E+11
24-Nov-19,7398.63,7408.58,7029.29,7047.92,30433517289,1.27E+11
25-Nov-19,7039.98,7319.86,6617.17,7146.13,42685231262,1.29E+11
26-Nov-19,7145.16,7320.23,7098.57,7218.37,21129505542,1.30E+11
27-Nov-19,7220.88,7619.69,6974.17,7531.66,23991412764,1.36E+11
28-Nov-19,7536.82,7730.07,7454.12,7463.11,19050116751,1.35E+11
29-Nov-19,7466.73,7781.18,7460.76,7761.24,19709695456,1.40E+11
30-Nov-19,7764.06,7836.1,7515.85,7569.63,17158194786,1.37E+11
01-Dec-19,7571.62,7571.62,7291.34,7424.29,18720708479,1.34E+11
02-Dec-19,7424.04,7474.82,7233.4,7321.99,17082040706,1.32E+11
03-Dec-19,7323.98,7418.86,7229.36,7320.15,14797485769,1.32E+11
04-Dec-19,7320.13,7539.78,7170.92,7252.03,21664240918,1.31E+11
05-Dec-19,7253.24,7743.43,7232.68,7448.31,18816085231,1.35E+11
06-Dec-19,7450.56,7547,7392.18,7547,18104466307,1.37E+11
07-Dec-19,7547.27,7589.95,7525.71,7556.24,15453520564,1.37E+11
08-Dec-19,7551.34,7634.61,7476.09,7564.35,15409908086,1.37E+11
09-Dec-19,7561.8,7618.09,7365.99,7400.9,17872021272,1.34E+11
10-Dec-19,7397.13,7424.02,7246.04,7278.12,18249031195,1.32E+11
11-Dec-19,7277.2,7324.16,7195.53,7217.43,16350490689,1.31E+11
12-Dec-19,7216.74,7266.64,7164.74,7243.13,18927080224,1.31E+11
13-Dec-19,7244.66,7293.56,7227.12,7269.68,17125736940,1.32E+11
14-Dec-19,7268.9,7308.84,7097.21,7124.67,17137029730,1.29E+11
15-Dec-19,7124.24,7181.08,6924.38,7152.3,16881129804,1.29E+11
16-Dec-19,7153.66,7171.17,6903.68,6932.48,20213265950,1.26E+11
17-Dec-19,6931.32,6964.07,6587.97,6640.52,22363804217,1.20E+11
18-Dec-19,6647.7,7324.98,6540.05,7276.8,31836522778,1.32E+11
19-Dec-19,7277.59,7346.6,7041.38,7202.84,25904604416,1.30E+11
20-Dec-19,7208.64,7257.92,7086.12,7218.82,22633815180,1.31E+11
21-Dec-19,7220.59,7223.23,7112.74,7191.16,19312552168,1.30E+11
22-Dec-19,7191.19,7518.03,7167.18,7511.59,23134537956,1.36E+11
23-Dec-19,7508.9,7656.18,7326.19,7355.63,27831788041,1.33E+11
24-Dec-19,7354.39,7535.72,7269.53,7322.53,22991622105,1.33E+11
25-Dec-19,7325.76,7357.02,7220.99,7275.16,21559505149,1.32E+11
26-Dec-19,7274.8,7388.3,7200.39,7238.97,22787010034,1.31E+11
27-Dec-19,7238.14,7363.53,7189.93,7290.09,22777360996,1.32E+11
28-Dec-19,7289.03,7399.04,7286.91,7317.99,21365673026,1.33E+11
29-Dec-19,7317.65,7513.95,7279.87,7422.65,22445257702,1.35E+11
30-Dec-19,7420.27,7454.82,7276.31,7293,22874131672,1.32E+11
31-Dec-19,7294.44,7335.29,7169.78,7193.6,21167946112,1.30E+11
01-Jan-20,7194.89,7254.33,7174.94,7200.17,18565664997,1.31E+11
02-Jan-20,7202.55,7212.16,6935.27,6985.47,20802083465,1.27E+11
03-Jan-20,6984.43,7413.72,6915,7344.88,28111481032,1.33E+11
04-Jan-20,7345.38,7427.39,7309.51,7410.66,18444271275,1.34E+11
05-Jan-20,7410.45,7544.5,7400.54,7411.32,19725074095,1.34E+11
06-Jan-20,7410.45,7781.87,7409.29,7769.22,23276261598,1.41E+11
07-Jan-20,7768.68,8178.22,7768.23,8163.69,28767291327,1.48E+11
